sample_id,condition,author_cell_type,mean_expression,median_expression,detection_fraction,n_nuclei
s_0159,Control,OPC,0.13622034,0.0,0.19631901840490798,326
s_0159,Control,Oligo,0.010280098,0.0,0.00969237252423093,2373
s_0159,Control,T cells,0.0,0.0,0.0,18
s_0159,Control,VC,0.04944493,0.0,0.06201550387596899,129
s_0165,Control,Astro,0.057066087,0.0,0.026706231454005934,337
s_0165,Control,Micro,0.25402763,0.0,0.09655172413793103,145
s_0165,Control,Neurons,0.0057596285,0.0,0.007042253521126761,142
s_0165,Control,OPC,0.07321132,0.0,0.03333333333333333,60
s_0165,Control,Oligo,0.0025632803,0.0,0.0015424164524421595,1945
s_0165,Control,T cells,0.0,0.0,0.0,10
s_0165,Control,VC,0.015244642,0.0,0.011627906976744186,86
