"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
0.774851384849646,0.354997830951483,0.024,0.018,1,"TIMM50"
0.77561628070033,0.537898875133994,0.021,0.014,1,"ZPR1"
0.775676138182522,-0.361484892565733,0.045,0.048,1,"AC022509.2"
0.776097440403248,0.174453036843173,0.01,0.008,1,"SLITRK2"
0.776225215923144,-0.597265312680865,0.031,0.043,1,"SFXN4"
0.776285626676206,-0.278990333297469,0.084,0.092,1,"DBNL"
0.776357972770023,-0.290955326888406,0.026,0.031,1,"PPP2R5D"
0.776877271082434,-0.879268078678074,0.013,0.016,1,"GLMP"
0.777120952069592,0.16325176699049,0.019,0.016,1,"ZNF528"
0.777200881050553,-0.239828947631397,0.044,0.042,1,"PPP2R3A"
0.777447869413699,0.332428396726249,0.021,0.017,1,"TYSND1"
0.777842279114115,-0.289189387378703,0.076,0.091,1,"TBC1D19"
0.777877770069085,-0.1972475746974,0.073,0.066,1,"CWC22"
0.777994697974001,1.49277328531194,0.014,0.005,1,"RAB7B"
0.77846788274976,0.452748318888015,0.019,0.012,1,"ISOC1"
0.778575440421622,0.84320709823088,0.06,0.034,1,"CACNB4"
0.778685655014379,0.14326845026483,0.062,0.053,1,"DERL1"
0.779294781689882,-0.250646777510531,0.01,0.01,1,"FRMD6"
0.779354645015353,0.375138411184302,0.015,0.009,1,"AC027682.4"
0.780194487578518,0.516495371908318,0.02,0.019,1,"TGFBI"
0.780573615473434,0.566221046220779,0.081,0.052,1,"PPP1R18"
0.781134143573513,0.12084864098586,0.066,0.051,1,"DLD"
0.781583335036566,-0.325125572935557,0.02,0.022,1,"CTSO"
0.781746369806843,-0.222801387120634,0.033,0.03,1,"NCMAP"
0.781928127428989,0.456126996750687,0.015,0.012,1,"INAFM1"
0.782008111420679,1.22984011677515,0.01,0.004,1,"TUFT1"
0.782131631215626,0.327518027532526,0.046,0.033,1,"DPEP2"
0.782216781400615,-0.211312212431415,0.01,0.005,1,"AC110285.2"
