gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PLXNA1,43.38062037859867,0.633768864168634,0.18224310090502072,3.4776014072485197,0.0005059216384678178,0.050797362833013476
MYBPC1,8.362672762787707,1.1115592572293487,0.3203949791474335,3.469340437815824,0.0005217378776684562,0.05202161421919232
LAPTM4B,10.99837603133519,-1.3947254175645647,0.40242707555517887,-3.4657842433698938,0.0005286873549091344,0.052350986495071396
LGR6,11.46776706835409,1.604144208487058,0.46407694063155264,3.456634165670916,0.0005469668514053794,0.05379006885259204
ADAMTS9,4.114060333081891,1.3897710851112395,0.4027140513777959,3.4510121520628565,0.0005584884222706931,0.05454950181607219
FANCA,16.36248197315856,-0.9112717174858829,0.26448234393669323,-3.445491687354396,0.0005700214990350513,0.055299788399630186
IER2,69.74551720086897,-1.3838140324648052,0.4022027913842362,-3.4405878380461234,0.0005804519955092939,0.05593375672162712
RAC3,5.294735784220672,-1.1733398450132586,0.34129311327761414,-3.437924175337351,0.0005861918182107558,0.056110280839133546
AC073529.1,33.76542520708724,-0.6713865717979545,0.19586077823861245,-3.427876565363283,0.000608321983158161,0.05708684336068546
HGF,42.68251682341261,0.7802060682093747,0.2274253694696481,3.4306026193506964,0.0006022421314548483,0.05708684336068546
DUSP15,6.399363396298595,-1.0071907410143903,0.2937023148855896,-3.4292911222260427,0.0006051600375183605,0.05708684336068546
LINC00299,9.916052679534966,1.172559777289386,0.342504013517104,3.4234920789645886,0.0006182205351175462,0.05755561743040711
LGI4,7.9047267497898055,1.1382283987058455,0.33260853247270594,3.4221262763283122,0.0006213344965672867,0.05755561743040711
MAP1LC3A,28.903469058917572,-1.4313045465489267,0.41888578209475796,-3.4169327480901344,0.0006333092216140026,0.05828880643547339
PTPRZ1,48.23374040766619,0.9430164487496923,0.2761716458871345,3.414602703765915,0.0006387510714768079,0.05841520945391088
DCUN1D4,101.35756842814813,0.3468763572218742,0.10180309863596668,3.407326121400827,0.0006560269214855797,0.05924046879679216
SLC14A1,36.4097793877929,1.3054549894658058,0.38305794508251084,3.407983064245307,0.0006544495640366236,0.05924046879679216
TCEAL2,17.68090411048899,-1.640336742545291,0.48242273738142893,-3.400206116836392,0.000673350747071557,0.060424812665333845
BOC,10.341770202535244,1.441566190134267,0.42452463851685174,3.3957185504488527,0.0006844870389397716,0.06104263916209466
LIFR,39.93180764334772,0.9058190868459105,0.2672067395328708,3.389955988495867,0.0006990384542467911,0.0619555192967619
RERG,6.063022053526332,-1.4859753408392196,0.4396793960582744,-3.3796792712166814,0.0007257046217097819,0.06392433716876716
SLC2A6,8.499272452615847,-1.1859604480594463,0.3519212834453665,-3.369959430838343,0.0007517925109723367,0.06541961740933824
AC103923.1,4.448380543167421,1.166200544961545,0.34601623162090145,3.3703636950744116,0.0007506903387815443,0.06541961740933824
NFIX,48.7055677545338,0.5986334617817061,0.17774245821304752,3.3679823481689772,0.0007572044397153346,0.06549362256284803
RBM25,249.75622101156054,-0.273730932988088,0.08132027223737136,-3.3660848083375305,0.0007624326349558156,0.06555094474668025
EPHX1,28.190977405520975,0.7979333443394845,0.23779931422118347,3.3554905191917643,0.0007922437200263819,0.06770854364368328
PSMC6,66.82257277931252,-0.39126323108253774,0.1168297625003354,-3.3490030511823945,0.0008110290255314196,0.06890387425195339
FBXL7,58.907228124199065,1.1305628937683636,0.3378449923511121,3.3463952977388036,0.0008186959153856385,0.06914609384180587
EFEMP1,20.865236714321433,1.3769072615350457,0.41211583813077024,3.341068539807328,0.0008345661794746153,0.06955890023488086
CRADD,217.58659443872378,0.4640479407598353,0.13893229113826674,3.3401014044892587,0.0008374780436519521,0.06955890023488086
FYN,50.13212009615805,0.7799905889214309,0.23353784513036244,3.3398894662491845,0.0008381174077611358,0.06955890023488086
AC105052.1,13.132730309691297,0.9385390088274553,0.28149301356838524,3.3341467233233795,0.0008556151162591454,0.06984066724407233
SMIM10L2A,4.805753300299901,-1.262619918069265,0.3784414177674282,-3.3363682165602984,0.0008488065986924121,0.06984066724407233
TSNARE1,63.56904135480766,0.5346092556553167,0.1603513089806767,3.333987474462963,0.0008561051284967775,0.06984066724407233
GALNT18,10.886307948519196,1.093089179061271,0.3287191854963221,3.3252977839150217,0.0008832414462848438,0.07006398168926956
MATN2,11.747707135149646,0.9491731571017188,0.28529827775544336,3.326950181996354,0.0008780206898014043,0.07006398168926956
GNG3,26.15656495050905,-2.2284961370228373,0.6695635320175437,-3.3282818290713703,0.0008738341812353553,0.07006398168926956
AC093297.2,6.970933225889816,0.9089360162172714,0.27331687535830845,3.3255759090092383,0.0008823606997873084,0.07006398168926956
RFX4,30.850299305253852,1.128246932405885,0.3390705064389908,3.327469983323045,0.000876384300828916,0.07006398168926956
SLC39A12,11.308784919579049,1.121216360305109,0.3374770870651535,3.3223481038540745,0.0008926325685048225,0.07041988142083648
