Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Glial Cell Differentiation (GO:0010001),8.135259e-01,1.577898e+00,4.854369e-03,2.584130e-01,9.960000e-01,12/26,6.42%,NFIB;SOX8;PTPRZ1;ERBB3;MYRF;BCAN;SOX10;CDH2;SOX2;SOX9;GPR157;RELN
prerank,Cytoskeleton Organization (GO:0007010),-6.875173e-01,-1.577458e+00,1.745201e-03,1.564338e-01,9.320000e-01,12/91,7.35%,DMTN;RAC3;THY1;DIAPH3;CCL3;ARHGAP4;WASF3;CCL2;ANK1;MAST1;TNFAIP3;PACSIN1
prerank,Fibroblast Growth Factor Receptor Signaling Pathway (GO:0008543),8.466842e-01,1.576625e+00,1.372998e-02,2.543444e-01,9.970000e-01,5/20,4.25%,FLRT2;FGFR3;FGF2;FGFR2;FGF1
prerank,Mitotic G2/M Transition Checkpoint (GO:0044818),-7.726229e-01,-1.575422e+00,3.676471e-03,1.573319e-01,9.420000e-01,10/38,15.00%,CLSPN;CHEK1;ORC1;BLM;BRCA1;CDKN1A;NABP2;RINT1;PLK1;DEPDC1B
prerank,Mitotic Sister Chromatid Segregation (GO:0000070),-6.916730e-01,-1.570791e+00,3.565062e-03,1.675248e-01,9.550000e-01,24/94,13.79%,NCAPH;CENPE;MAP9;CENPK;NCAPG;KIFC1;CDCA5;KIF11;KIF18B;DCTN2;NDC80;CEP55;CCNB1;DSN1;TEX14;KPNB1;CDCA8;EML4;INO80;RAB11A;CENPI;NCAPG2;PLK1;BECN1
prerank,Cytoplasmic Translation (GO:0002181),6.691520e-01,1.570683e+00,0.000000e+00,2.688719e-01,9.990000e-01,45/88,19.62%,RPS27;RPL32;RPL37;RPLP2;RPS17;RPL30;RPS18;RPLP1;RPS28;RPL19;RPL28;FAU;RPL34;RPS8;RPS29;RPL7A;RPL10;RPS15;RPS15A;RPL36;RPS25;RPL31;RPL38;RPL41;RPL13;RPL23A;RPL11;RPL27;RPS14;RPL35;RPL37A;RPL35A;RPS19;RPL29;RPS27A;RPS4X;RPS5;RPS23;RACK1;RPS24;RPL18;RPS7;RPL12;RPS13;RPS11
prerank,Chloride Transmembrane Transport (GO:1902476),-7.826061e-01,-1.566238e+00,3.442341e-03,1.794069e-01,9.690000e-01,5/36,1.80%,GABRG2;GLRA3;GABRA4;SLC1A1;GLRB
prerank,Synaptic Vesicle Recycling (GO:0036465),-7.760413e-01,-1.565362e+00,3.710575e-03,1.765390e-01,9.690000e-01,11/38,7.35%,SYT1;RAB3A;SNCG;SYT5;SNCB;AP3B2;SYT7;CDK5;AP2S1;AP2M1;PACSIN1
prerank,Negative Regulation Of Cell Development (GO:0010721),-8.814222e-01,-1.561911e+00,8.635579e-03,1.844026e-01,9.750000e-01,2/16,0.62%,IL1B;TNF
prerank,Protein Secretion (GO:0009306),-7.370775e-01,-1.559693e+00,8.928571e-03,1.876651e-01,9.790000e-01,9/50,14.80%,RAB3A;RAB3C;PTPRN;RIMS2;NECAB3;SVBP;TVP23B;RAB13;PARK7
